Educación,¿Cuándo comenzó tu proyecto?,¿Por qué decidiste emprender?,¿Qué desafíos tuviste a la hora de empezar/decidir a emprender?,"¿Accediste a financiamiento? famila, amigos, angel investors, venture capital...",¿Cuál fue la fuente de ese financiamiento?,Etapa del proyecto,¿Con cuantos potenciales inversores contactaste? ,Si participaste de una incubadora/aceleradora. ¿Cómo impactó ese proceso en tu negocio?,¿Por qué no accediste a fondos?,¿Qué desafíos tenés cómo founder hoy en día?,¿Algún desafío único para crear productos para el mercado Argentino?,¿Dónde necesitas más apoyo?,¿Qué políticas o regulaciones te perjudican?,¿Qué políticas o regulaciones te benefician?,Tipo de empresa,Cantidad de gente en el equipo,¿Qué porcentaje de ese equipo está en Argentina?,Burn-rate mensual de tu empresa (opcional),Revenue mensual de tu empresa (opcional),Lugar trabajo,Estructura legal,@,Repetido,Not crypto,included in Landscape,Industria/vertical,Edad,Lugar de nacimiento - Provincia,Lugar de nacimiento - Pais,Lugar de residencia - Provincia,Lugar de residencia - Pais
Estudios de especialización,6/28/2023,Desafio,"Falta de conocimiento/skills, Falta de clientes",No,,,,,No los necesitaba,"Desarrollo de producto, Go to market",no,Go to market,ninguna,ninguna,Servicio,2,100% en Argentina,,,Remoto,"no hay, pero estamos armandonos en BVI",,,,,DeFi,30,Buenos Aires,Argentina,Buenos Aires,Argentina
Master,4/3/2020,Oportunidad,"Falta de conocimiento/skills, Falta de clientes, Falta de financiamiento, Riesgo país",No,,,,,No los necesitaba,"Financiamiento (deuda, working capital), Infraestructura corporativa, Conexiones",La diferencia en poder adquisitivo para educación en relación al resto de latam,"Financiamiento (deuda, working capital), Conexiones",Los fee de mercadopago para cobrar en Argentina ,Que en Argentina no es necesario el título universitario para ejercer una profesión ,Servicio,10,Entre el 76% y el 99%,,,Remoto,No hay,,,not,,,32,,Venezuela,Buenos Aires,Argentina
Universitario completo (Institución privada),3/1/2024,No conseguia trabajo,"Falta de conocimiento/skills, Falta de socios, Falta de financiamiento, Riesgo país",No,,,,,No tenía los contactos para hacerlo,"Financiamiento (deuda, working capital), Sistema regulatorio, Velocidad de ejecución",Impuestos y regulaciones ,"Financiamiento (deuda, working capital), Velocidad de ejecución",Burocracia en las transacciones ,Facilidad de uso en montos chicos en billeteras virtuales ,Ambas,1,100% en Argentina,,,Remoto,No hay,,,,,Education,26,Buenos Aires,Argentina,Buenos Aires,Argentina
Secundario completo,10/18/2023,Desafio,"Falta de socios, Falta de financiamiento",Si,"Fondos propios, Fondos de Venture Capital",Series A,21 a 50,No participé,,"Financiamiento (deuda, working capital), Equipo, Conexiones",Sistema de purificación del agua ,"Equipo, ",Ninguna ,Economía ,Ambas,+20000,Entre el 51% y 75%,No lo se,No lo se,Híbrido,Argentina,,repetido,not,,,20,Buenos Aires,Argentina,Buenos Aires,Argentina
Master,7/1/2024,Voy a emprender. Reconversión de mi negocio ,"Falta de clientes, Falta de socios",No,,,,,No los necesitaba,"Go to market, Conexiones",Evangelizar ,"Go to market, Conexiones","Ingresos Brutos, impuestos a los créditos y débitos, IVA...",Plataformas de Financiamiento Colectivo ,Ambas,1,100% en Argentina,,,Remoto,"Argentina, Delaware (LLC or C-Corp)",,,,,Dev shop,34,Córdoba ,Argentina,Cordoba,Argentina
Universitario completo (Institución pública),2/8/2021,Desafio,"Impacto emocional, Falta de financiamiento, Falta de claridad de regulación",Si,"Fondos propios, Inversión Ángel, Fondos de Venture Capital, Grants",Seed,51 a 100,"Validé la idea, Logré obtener inversión / acceso a inversion",,"Inversión (equity), Sistema regulatorio, Velocidad de ejecución",La regulación en seguros parece totalmente restrictiva. El tamaño del mercado hace que no rinda el esfuerzo de tratar de ser complaint con esa regulación ,"Inversión (equity), Sistema regulatorio","Las exigencias para las reaseguradoras no aplican para nuestro caso. Nos piden rating y 5 años de balance porque con otras reaseguradoras la garantía es por confianza, cuando en nuestro caso no tenemos reputación para sostener confianza, pero sí Smart contracts que no requieren confianza ","Ninguna, pero tal vez es una ventaja en algunos casos que habiendo tantas regulaciones, se hace imposible para el Estado controlarlas y en la práctica se pueden hacer muchas cosas aunque no sean legales. ",Producto,11,Entre el 26% y 50%,,,Remoto,Bermuda ,,,,,DeFi,45,Buenos Aires,Argentina,Buenos Aires,Argentina
Secundario completo,2/1/2024,Quería cambiar el mundo,"Falta de socios, Falta de financiamiento",No,,,,,Estoy en busqueda,"Inversión (equity), Financiamiento (deuda, working capital), Equipo, Desarrollo de producto, Ingeniería, Velocidad de ejecución",Financiacion en blockchain,"Inversión (equity), Financiamiento (deuda, working capital), Equipo, Desarrollo de producto, Ingeniería",Asadaic,Pro cripto,"Servicio, Producto, Ambas",3,Entre el 26% y 50%,,,Remoto,No hay,,,not,,?,33,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución privada),6/17/2022,Quería cambiar el mundo,Falta de financiamiento,No,,,,,"No sabía cómo hacerlo, Más allá de mi desconocimiento, tampoco era necesario en un estadío en donde lo que queríamos era simplemente ofrecer herramientas a artistas, e innovar de manera coherente. Para ello siempre entendimos Newtro como un proyecto que se tenía que construir paso a paso. No se trataba de recibir financiamiento y lanzar un producto que poco tenía que ver con la realidad y necesidades de artistas y coleccionistas dentro de la blockchain (hubo múltiples casos de productos vinculados a NFTs mal diseñados en el bullrun anterior). Nuestro aproach es más orgánico. Hay que entender Newtro no como una empresa, sino como una Fundación.","Financiamiento (deuda, working capital), Conexiones, Sistema regulatorio","Newtro es de las pocas organizaciones artistica en el país trabajando bottom-up. Entendemos que en la blockchain, quienes aportan valor son lxs artistas (debido a la eliminación de lxs intermediarios).Hay pocos proyectos similares (por ende pocas posibilidades de alianzas) y dentro de los pocos que hay, menos aún tienen una lectura acertada sobre cómo utilizar la blockchain para innovar en el mundo del arte. Nos encontramos en una posición particular en donde proyectos locales como también internacionales, observan de cerca lo que hacemos (muchas veces para imitarnos), pero no por ello podríamos decir que tenemos una posición dominante o que que ese ""reconocimiento"" nos ayude de alguna manera. ","Financiamiento (deuda, working capital)","Ninguna en particular, simplemente optamos por operar 100% onchain. Justamente la ausencia de un marco regulatorio claro y pro-crypto es lo que nos mantiene onchain. El día de mañana, Newtro aspira a ser registrada como una Fundación sin fines de lucro, cuando el contexto lo amerite. De momento, podemos funcionar sin estar registrados, sin que ello nos genere mayores inconvenientes.",-,Servicio,11,Entre el 76% y el 99%,-,-,Remoto,No hay,,,,,Education,32,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario incompleto (Institución privada),9/30/2023,Oportunidad,Falta de financiamiento,No,,,,,No los necesitaba,"Desarrollo de producto, Ingeniería, Velocidad de ejecución",el comercio electronico,"Inversión (equity), Equipo, Ingeniería",la falta de leyes claras en el comercio p2p de una criptomoneda no regulada,"los microemprendimientos que no pueden hacer movimientos bancarizados por estar en negro, necesitan una forma de hacer sus cobros digitales",Servicio,1,100% en Argentina,500usd,0,Remoto,"No hay, marca registrada en inpi. argentina. en proceso de LLC en delaware",,,not,,?,27,,Argentina,Buenos Aires,Argentina
Master,12/1/2023,Somos inquietos por naturalez,"Falta de financiamiento, Falta de claridad de regulación, Riesgo país",Si,Fondos propios,Pre-seed,1 -10,No participé,,"Inversión (equity), Financiamiento (deuda, working capital), Sistema regulatorio",inversion,"Inversión (equity), Financiamiento (deuda, working capital), Sistema regulatorio",Comision Nacional de Mercado de Valores,Desregulacion economica financiera,Ambas,6,Entre el 26% y 50%,,,Híbrido,Delaware (LLC or C-Corp),,,not,,?,59,Buenos Aires,Argentina,,Spain
Universitario completo (Institución privada),9/15/2023,Propósito de vida,Falta de financiamiento,Si,Friends & Family,Pre-seed,1 -10,No participé,,"Inversión (equity), Equipo, Desarrollo de producto, Go to market",Estamos construyendo una solución de pagos global,"Inversión (equity), Desarrollo de producto, Go to market, Conexiones",Políticas relacionadas con regulaciones en países para pagos y kyc,Las que bajen las barreras de onboarding al ecosistema crypto,Servicio,3,100% en Argentina,10k,,Remoto,BVI,,,,,Payments,,Buenos Aires,Argentina,Buenos Aires,Argentina
Secundario completo,8/18/2023,Desafio,"Falta de conocimiento/skills, Falta de financiamiento, Falta de claridad de regulación",No,,,,,"No sabía cómo hacerlo, No tenía los contactos para hacerlo","Financiamiento (deuda, working capital), Desarrollo de producto, Conexiones",Necesitamos mas conocimientos sobre las leyes del pais,"Inversión (equity), Financiamiento (deuda, working capital), Desarrollo de producto",Desconocemos ,Desconocemos ,Ambas,8,Entre el 76% y el 99%,,,Remoto,"No hay, No hay pero tenemos pensado ponerla en uruguay o una LLC",,,,,?,21,,Argentina,Tucuman,Argentina
Master,9/24/2020,Desafio,"Falta de conocimiento/skills, Falta de financiamiento",No,,,,,No tenía los contactos para hacerlo,"Inversión (equity), Equipo","Una de las características únicas que corresponden a la Argentina son sus variables financieras, desde los niveles de inflación, las fluctuaciones e incertidumbre del TC y sus continuas restricciones a la exteriorización de capital o las barreras de conversión del dinero local en divisas. Todas estas variables macro y financieras siempre afectarán de manera directa a los negocios financieros como pueden ser cuentas de inversión o préstamos personales.","Inversión (equity), Equipo","El control o tope para las tasas de interés en préstamos, si bien esto se está dejando atrás y convergiendo a tasas más “normales” a medida que la inflación vaya descendiendo.","Para el cluster Lending nos beneficia la desregulación de tasas y la interoperabilidad de billeteras electrónicas, Para el cluster De-Fi nos beneficia la desregulación, la libre disponibilidad de divisas y las tasas pasivas por debajo de inflación fomentan la búsqueda de tasa por encima de inflación/depreciación",Ambas,2,100% en Argentina,,,Híbrido,Argentina,,,not,,,42,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario incompleto (Institución privada),12/1/2022,Quería cambiar el mundo,"Falta de conocimiento/skills, Impacto emocional, Falta de clientes, Falta de financiamiento, Falta de claridad de regulación",No,,,,,Estamos validando el producto,"Inversión (equity), Go to market, Conexiones","La falta de financiamiento, de inversionistas y de pedir prestamos a instituciones bancarias.","Inversión (equity), Financiamiento (deuda, working capital), Go to market, Conexiones",Transaccionar con cripto superando el AML y todo lo relaciónado a lo impositivo.,Ni idea...,Producto,5,Entre el 76% y el 99%,,,Híbrido,Argentina,,,,,,25,,Colombia,Buenos Aires,Argentina
Universitario incompleto (Institución pública),5/1/2019,Oportunidad,"Falta de conocimiento/skills, Falta de financiamiento",No,,,,,No sabía cómo hacerlo,"Desarrollo de producto, Go to market",No creo,"Financiamiento (deuda, working capital), Desarrollo de producto",Registro de Proveedores de Servicios de Activos Virtuales,Me beneficiaría la libre circulación de monedas ,Servicio,1,Menos del 25%,,,Remoto,No hay,,,,,,28,Cordoba,Argentina,Cordoba,Argentina
Universitario completo (Institución pública),1/1/2023,Desafio,"Impacto emocional, Falta de clientes, Falta de financiamiento",Si,Grants,Pre-seed,1 -10,No participé,,"Financiamiento (deuda, working capital), Go to market, Conexiones, Sistema regulatorio",Carga impositiva,"Financiamiento (deuda, working capital), Go to market, Conexiones, Sistema regulatorio",Falta de claridad en la tributación de de ingresos obtenidos de producto del mundo Blockchain,N/A,"Servicio, Producto",3,Entre el 51% y 75%,,,Remoto,"Argentina, Delaware (LLC or C-Corp)",,,,,,46,,Venezuela,Buenos Aires,Argentina
Universitario incompleto (Institución privada),1/8/2022,Oportunidad,"Falta de socios, Falta de financiamiento, Riesgo país",Si,Fondos propios,Pre-seed,21 a 50,No participé,,"Inversión (equity), Financiamiento (deuda, working capital), Conexiones",Desarrollo de comunidad & Reglas claras de negocios en la economía,"Inversión (equity), Financiamiento (deuda, working capital), Conexiones","Políticas cerradas y de cambio controlado, todo lo contrario a libertad y apertura económica.","Libertad de cambios, contratos y pautas legales en crypto, blockchain, web3, desarrollo de innovación, aceleración de adopción tecnológica, apertura económica, bajo riesgo país, llamada de inversiones.",Ambas,10,Entre el 76% y el 99%,,,Híbrido,Delaware (LLC or C-Corp),,,,,,30,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución pública),11/1/2020,Oportunidad,"Impacto emocional, Falta de clientes, Falta de socios, Falta de financiamiento",Si,"Fondos propios, Friends & Family, Grants",Pre-seed,1 -10,"Conocí a otros emprendedores / networking, Me sirvió para armar una comunidad de validadores en Cardano con foco en Latinoamérica",,"Financiamiento (deuda, working capital), Infraestructura corporativa, Equipo, Desarrollo de producto, Ingeniería, Go to market, Conexiones, Velocidad de ejecución","Promover más medios de pago en crypto, ya sea con monedas estables o tokens de comunidades.","Financiamiento (deuda, working capital)",Por el momento ninguna ya que vivo en el exterior. Me perjudicarían los altos impuestos a las crypto.,"Por el momento ninguna ya que vivo en el exterior. Me beneficiaría si puedo establecer mí propia empresa en mí país,  sin necesidad de acudir a residencias como la de Emiratos Árabes (Dubai) para evitar altos impuestos.",Ambas,4,Menos del 25%,,,Remoto,"No hay, Consideraría Argentina de ser adecuado",,,,,?,36,Buenos Aires,Argentina,,Australia
Estudios de especialización,11/21/2023,Desafio,"Impacto emocional, Falta de claridad de regulación, Riesgo país",No,,,,,No los necesitaba,Conexiones,Aportar conocimientos sobre el ecosistema y continuar educando sobre tecnologías ,"Desarrollo de producto, Conexiones",La falta de una ley concreta que habilite la tokenizacion de bienes y servicios ,DNU ,Servicio,3,100% en Argentina,,,Híbrido,Argentina,,,not,,,50,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario incompleto (Institución pública),1/19/2023,Quería cambiar el mundo,"Falta de socios, Falta de financiamiento, Riesgo país",Si,"Fondos propios, Friends & Family",Pre-seed,21 a 50,"Validé la idea, Obtuve valiosas mentorias, Conocí a otros emprendedores / networking, Logré acceder a más y mejor talento para mi empresa",,"Inversión (equity), Financiamiento (deuda, working capital), Infraestructura corporativa, Velocidad de ejecución",Desconfianza por estafas piramidales ,"Inversión (equity), Financiamiento (deuda, working capital), Velocidad de ejecución",Registrarme como pyme sin facturar para acceder a un credito,Ninguna,Ambas,2,100% en Argentina,600 usd,,Remoto,No hay,,,,,,31,,Argentina,,Argentina
Estudios de especialización,11/29/2023,Desafio,"Falta de conocimiento/skills, Impacto emocional, Falta de clientes, Falta de socios, Falta de financiamiento, Falta de claridad de regulación, Riesgo país",No,,,,,No sabía cómo hacerlo,"Desarrollo de producto, Go to market, Sistema regulatorio, Velocidad de ejecución","En mi caso el sistema impositivo es muy agresivo, lo que dificulta mi salida al mercado. una ","Inversión (equity), Financiamiento (deuda, working capital), Desarrollo de producto, Sistema regulatorio",La regulación impositiva,No lo se concretamente. No lo he analizado,Servicio,3,Entre el 51% y 75%,,,Remoto,No hay,,,,,,28,Mendoza,Argentina,Mendoza,Argentina
Secundario completo,4/1/2024,Oportunidad,Falta de financiamiento,Si,"Fondos propios, Friends & Family, Inversión Ángel",Pre-seed,1 -10,No participé,,"Financiamiento (deuda, working capital), Equipo, Sistema regulatorio",Algunos aspectos legales del agro y la tokenización de activos,Inversión (equity),"No hay una ley que nos trabe, sino la falta de ley deja un gris bastante ambiguo",-,Servicio,9,100% en Argentina,4500 USD,0,Híbrido,Delaware (LLC or C-Corp),,,,,NFTs,20,,,Buenos Aires,Argentina
Master,5/29/2024,Quería cambiar el mundo,"Falta de clientes, Falta de financiamiento, Falta de claridad de regulación",No,,,,,No encontré interesados en el proyecto,"Inversión (equity), Conexiones",No necesariamente,"Inversión (equity), Financiamiento (deuda, working capital), Velocidad de ejecución","Realmente la sobre-regulacion hace que el pais este bastante desregulado, el mercado es en general `negro`. En mi industria madre (vitivinicola) el regulador (INV) nos perjudica totalmente",..,Producto,2,100% en Argentina,,,Remoto,No hay,,,,,,28,Mendoza,Argentina,Mendoza,Argentina
Universitario incompleto (Institución privada),2/1/2024,Quería cambiar el mundo,"Falta de conocimiento/skills, Falta de socios",Si,"Fondos propios, Grants, Gobierno (ANRs)",Pre-seed,1 -10,"Obtuve valiosas mentorias, Conocí a otros emprendedores / networking, Logré acceder a más y mejor talento para mi empresa",,"Infraestructura corporativa, Equipo, Desarrollo de producto, Conexiones","Estamos Hackeando el Sistema, San Isidro es nuestra ciudad Laboratorio.","Inversión (equity), Equipo, Desarrollo de producto, Conexiones",Estamos haciendo la ORDENANZA SandBox para San Isidro,Libertad de Monedas,Ambas,5,100% en Argentina,30K USD,0,Híbrido,No hay,,,,,,38,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución privada),10/1/2022,Quiero proponer soluciones alternativas a lo tradicional,"Falta de socios, Falta de financiamiento, Falta de espacios y ámbitos afines.",No,,,,,"No sabía cómo hacerlo, Participamos en una convocatoria y quedamos entre los 7 finalistas de 69 proyectos. Luego, nuestra idea quedó descartada porque el VC no tenía equipo para desarrollos con tecnología blockchain y porque nosotros no teníamos en nuestro plantel, un líder comercial.","Equipo, Desarrollo de producto, Go to market, ",Interacción con proyectos existentes,"Inversión (equity), Equipo, Desarrollo de producto",Registros de títulos de propiedad,Tokenización de activos físicos,Ambas,2,100% en Argentina,,,Híbrido,No hay,,,,,,50,Mendoza,Argentina,Buenos Aires,Argentina
Estudios de especialización,7/6/2021,Oportunidad, ,No,,,,,No los necesitaba,"Desarrollo de producto, Go to market, Conexiones",Regulaciones,"Desarrollo de producto, Go to market, Conexiones", , ,Ambas,20,Entre el 51% y 75%,,,Remoto,Delaware (LLC or C-Corp),,,,,Dev shop,45,,Argentina,Buenos Aires,Argentina
Universitario completo (Institución privada),10/30/2022,Desafio,Falta de financiamiento,Si,Grants,Pre-seed,1 -10,"Validé la idea, Obtuve valiosas mentorias, Conocí a otros emprendedores / networking",,"Inversión (equity), Financiamiento (deuda, working capital), Go to market","Ninguno en nuestra area, el playground es el mundo","Inversión (equity), Financiamiento (deuda, working capital)","Cepo cambiario, restriccion a las importaciones",Ninguna,Servicio,6,Entre el 26% y 50%,,,Remoto,Delaware (LLC or C-Corp),,,,,Social,25,Buenos Aires,Argentina,,Poland
Universitario completo (Institución privada),8/1/2023,Oportunidad,Falta de financiamiento,Si,"Fondos propios, Friends & Family",Pre-seed,1 -10,No participé,,"Go to market, Velocidad de ejecución",Es un desafío desarrollar en el mercado Argentino dada a la escasa liquidez de capital o deals que ocurren en el ecosistema crypto argentino. Mas allá de la gran adopción que hay en el país. ,"Inversión (equity), Financiamiento (deuda, working capital), Go to market, Velocidad de ejecución",No tenemos jurisdicción en Argentina. Falta de claridad regulatoria y altos impuestos.,Poder celebrar contratos en cualquier tipo de activo. ,Producto,5,100% en Argentina,,,Híbrido,Delaware (LLC or C-Corp),,,,,NFTs,26,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario incompleto (Institución pública),6/1/2023,Desafio,"Falta de financiamiento, Falta de claridad de regulación",Si,Inversión Ángel,Seed,21 a 50,No participé,,"Inversión (equity), Sistema regulatorio",-,Inversión (equity),Tiempo de respuesta para sacar licencias ,Que ya hay cierta definición en cuanto a activos digitales,Producto,4,100% en Argentina,7500 usd,1000 usd,Remoto,"Delaware (LLC or C-Corp), BVI, Cayman",,,,,Payments,30,,Argentina,Buenos Aires,Argentina
Universitario incompleto (Institución privada),12/31/2023,Divertirme y generar impacto,"Impacto emocional, Falta de claridad de regulación",Si,Inversión Ángel,Pre-seed,1 -10,"Validé la idea, Obtuve valiosas mentorias, Conocí a otros emprendedores / networking",,"Inversión (equity), Equipo, Desarrollo de producto, Ingeniería, Go to market, Velocidad de ejecución","Los constantes cambios de regulaciones, y lo cerrada que esta nuestra region a las comodidades de los mercados tradicionales","Financiamiento (deuda, working capital), Go to market",La falta de claridad y lo engorroso que es al momento de contratar de gente acá. Lo difícil y la cantidad de burocracia para armar una empresa o sociedad.,La falta de regulaciones hace que sea atractivo y deja un espacio en gris donde blockchain permite cubrir esas necesidades,Producto,6,100% en Argentina,3K,0,Híbrido,BVI,,,not,,RWA,21,Buenos Aires,Argentina,Buenos Aires,Argentina
Master,5/31/2023,Vimos un potencial enorme en el país ,"Falta de conocimiento/skills, Falta de financiamiento, Falta de claridad de regulación, Riesgo país",No,,,,,Estamos en negociación con cámaras de energía ,"Infraestructura corporativa, Equipo, Desarrollo de producto, Sistema regulatorio, Proyecto muy sensible a temas políticos ",Tenemos un proyecto que se puede aplicar en cualquier provincia argentina y a cualquier fuente de energía. Genera además potencial exportador,"Financiamiento (deuda, working capital), Desarrollo de producto, Velocidad de ejecución",Regulación energética - camessa,Agenda climática 2030,Ambas,Actual 6,100% en Argentina,,,Híbrido,A desarrollar según ley bases,,,not,,,49,Rosario ,Argentina,Rosario ,Argentina
Universitario completo (Institución privada),9/1/2023,Oportunidad,"Falta de clientes, Falta de claridad de regulación",No,,,,,No los necesitaba,"Inversión (equity), Equipo, Go to market, Conexiones, Sistema regulatorio",No,"Inversión (equity), Equipo, Go to market, Conexiones, Sistema regulatorio","En crypto es muy volátil, no solo el precio, sino las políticas y regulaciones",Ninguna ,Servicio,1,100% en Argentina,,,Híbrido,Argentina,,,,,Education,22,Buenos Aires,Argentina,Buenos Aires,Argentina
Universitario completo (Institución privada),3/10/2019,Desafio,"Falta de conocimiento/skills, Falta de clientes, infinitos",Si,"Friends & Family, YC",Seed,21 a 50,"Obtuve valiosas mentorias, Conocí a otros emprendedores / networking",,"Financiamiento (deuda, working capital), Equipo, Desarrollo de producto, Ingeniería, Conexiones, Sistema regulatorio, Velocidad de ejecución",cambios de reglas constantes,"Financiamiento (deuda, working capital), Sistema regulatorio",cepo,no se,Servicio,15,100% en Argentina,,,Híbrido,"Argentina, Delaware (LLC or C-Corp)",,,,,CeFi,36,Buenos Aires,Argentina,Buenos Aires,Argentina
